날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2024-12-30,17:00,지출,교통,택시,이동의즐거움_택시_0,-6900,KRW,네이버페이 머니 하나 체크카드,
2024-12-29,12:13,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-29,12:13,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-28,18:06,지출,생활,생필품,토이하우스,-1000,KRW,네이버페이 간편결제(포인트),
2024-12-28,18:06,지출,생활,생필품,토이하우스,-1000,KRW,네이버페이 간편결제(포인트),
2024-12-27,18:46,지출,의료/건강,약국,용수약국,-5000,KRW,네이버페이 간편결제(포인트),
2024-12-27,15:02,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-27,09:31,지출,주거/통신,휴대폰,티플러스 kct,-100,KRW,KB국민 첵첵 체크카드(RF),
2024-12-26,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-26,12:22,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-26,12:22,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-25,23:57,지출,온라인쇼핑,인터넷쇼핑,temu.com,-2307,KRW,네이버페이 간편결제(머니),
2024-12-25,23:57,지출,온라인쇼핑,인터넷쇼핑,temu.com,-2307,KRW,네이버페이 머니,
2024-12-25,23:54,지출,온라인쇼핑,인터넷쇼핑,temu.com,-15575,KRW,네이버페이 간편결제(머니),
2024-12-25,23:54,지출,온라인쇼핑,인터넷쇼핑,temu.com,-15575,KRW,네이버페이 머니,
2024-12-25,15:03,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-25,12:25,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-24,18:32,지출,온라인쇼핑,서비스구독,쿠팡와우월회비,-7890,KRW,입출금통장,
2024-12-24,15:08,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-24,15:04,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-24,12:16,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-23,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-23,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-22,18:10,지출,뷰티/미용,헤어샵,금비헤어샵,-15000,KRW,네이버페이 간편결제(머니),
2024-12-22,18:10,지출,뷰티/미용,헤어샵,금비헤어샵,-15000,KRW,네이버페이 머니,
2024-12-22,17:11,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(포인트),
2024-12-21,15:01,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-21,12:20,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-20,12:14,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-20,12:13,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-19,15:03,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-19,12:20,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-19,12:20,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-18,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-18,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-18,12:13,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-16,18:03,지출,온라인쇼핑,인터넷쇼핑,SSG.COM,20379,KRW,네이버페이 간편결제(머니),
2024-12-16,15:02,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-16,12:15,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-15,15:01,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-15,12:16,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-14,12:55,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-12,15:19,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-12,12:51,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-11,15:17,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-11,12:52,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-10,15:18,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-10,12:55,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-10,10:15,지출,온라인쇼핑,인터넷쇼핑,삼성12-003건,-22287,KRW,네이버페이 머니 하나 통장,
2024-12-09,14:01,지출,온라인쇼핑,인터넷쇼핑,SSG.COM,-20379,KRW,네이버페이 간편결제(머니),
2024-12-09,14:01,지출,온라인쇼핑,인터넷쇼핑,SSG.COM,-20379,KRW,네이버페이 머니,
2024-12-09,11:30,지출,카페/간식,아이스크림/빙수,하드나라 신하점,-700,KRW,네이버페이 간편결제(포인트),
2024-12-07,18:38,지출,의료/건강,약국,용수약국,-6000,KRW,네이버페이 간편결제(포인트),
2024-12-07,12:15,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-05,18:52,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-600,KRW,네이버페이 간편결제(포인트),
2024-12-05,18:07,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-05,12:21,지출,식비,식재료,(주)이스턴웰스본사,-400,KRW,네이버페이 간편결제(포인트),
2024-12-05,12:21,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-04,12:18,지출,카페/간식,커피/음료,이스턴웰스자판기,-900,KRW,KB국민 첵첵 체크카드(RF),
2024-12-04,12:14,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-04,12:14,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
2024-12-03,15:02,지출,식비,식재료,(주)이스턴웰스본사,-300,KRW,네이버페이 간편결제(포인트),
